Species name,AphiaID,Unit,Observatory,Species importance to society,IUCN RedList Category,IUCN Criteria,IUCN Year Accessed,HELCOM RedList Category,AMBI ecological group,Environmental position
Clathria (Microciona) toxitenuis,167698,1HERP,Crete,None,None,None,None,None,None,None
Gobius niger,126892,1HERP,Crete, FAO-ASFIS; MSFD indicators,None,None,None,None,None,None
Juxtacribrilina mutabilis,1059484,2UBPC,Crete,None,None,None,None,None,None,None
Obelia longissima,117389,2UBPC,Crete,None,None,None,None,None, indifferent to disturbance,None
Paranais litoralis,137485,Angbat,TZS,None,None,None,None,None, first-order opportunistic,None
Kryptoperidinium triquetrum,1346683,Angbat,TZS,None,None,None,None,None,None,None
Phallusia ingeria,103723,Angbat,TZS,None,None,None,None,None,None,None
Nannochloropsis limnetica,613134,Angbat,TZS,None,None,None,None,None,None,None
Gonothyraea loveni,117377,Angbat,TZS,None,None,None,None,None, very sensitive to disturbance,None
Oscarella tuberculata,169724,Angbat,TZS,None,None,None,None,None,None,None
Pylaiella washingtoniensis,373984,Angbat,TZS,None,None,None,None,None,None,None
Cladosporium sphaerospermum,1415544,Angbat,TZS,None,None,None,None,None,None,None
Acartia (Acanthacartia) tonsa,345943,Angbat,TZS, FAO-ASFIS,None,None,None,None,None,None
Campanularia hincksii,117364,Angbat,TZS,None,None,None,None,None, indifferent to disturbance,None
Sabellaria spinulosa,130867,Angbat,TZS, MSFD indicators,None,None,None,None, very sensitive to disturbance,None
Eualus gaimardii,107504,Angbat,TZS,None,None,None,None,None, very sensitive to disturbance,None
Punctaria latifolia,145346,Angbat,TZS,None,None,None,None,None,None,None
Rhachotropis inflata,102234,Angbat,TZS,None,None,None,None,None,None,None
Acartia (Acanthacartia) bifilosa,345919,Angbat,TZS,None,None,None,None,None,None,None
Navicula ramosissima,149643,Angbat,TZS,None,None,None,None,None,None,None
Electra pilosa,111355,Angbat,TZS,None,None,None,None,None, indifferent to disturbance,None
Micromonas pusilla,134564,Angbat,TZS,None,None,None,None,None,None,None
Nais elinguis,137481,Angbat,TZS,None,None,None,None,None, second-order opportunistic,None
Neogobius melanostomus,126916,Angbat,TZS, FAO-ASFIS; IUCN Red List; MSFD indicators, Least Concern,None,2008,None,None,None
Skeletonema dohrnii,489112,Angbat,TZS,None,None,None,None,None,None,None
Calanus finmarchicus,104464,Angbat,TZS, FAO-ASFIS,None,None,None,None,None,None
Kurtiella bidentata,345281,Angbat,TZS,None,None,None,None,None, tolerant to disturbance,None
Protohydra leuckarti,117842,Angbat,TZS,None,None,None,None,None,None,None
Ectocarpus siliculosus var. dasycarpus,550728,Angbat,TZS,None,None,None,None,None,None,None
Amphibalanus improvisus,421139,Angbat,TZS, MSFD indicators,None,None,None,None,None,None
Ciona roulii,236663,Angbat,TZS,None,None,None,None,None,None,None
Lebbeus polaris,107521,Angbat,TZS,None,None,None,None,None, very sensitive to disturbance,None
Perforatus perforatus,535477,Angbat,TZS,None,None,None,None,None,None,None
Enchytraeus buchholzi,137403,Angbat,TZS,None,None,None,None,None,None,None
Peringia ulvae,151628,Angbat,TZS,None,None,None,None,None, tolerant to disturbance,None
Rhodothamniella floridula,145777,Angbat,TZS,None,None,None,None,None,None, epilithic
Chironomus aprilinus,494362,Angbat,TZS,None,None,None,None,None, tolerant to disturbance,None
Eudesme borealis,1535277,Angbat,TZS,None,None,None,None,None,None,None
Pomatoschistus flavescens,1526389,Angbat,TZS, FAO-ASFIS; IUCN Red List, Least Concern,None,2014,None,None,None
Pycnococcus provasolii,376073,Angbat,TZS,None,None,None,None,None,None,None
Thalassiosira nordenskioeldii,148931,AZBE1,BelgiumCoast,None,None,None,None,None,None,None
Eualus cranchii,156083,AZBE1,BelgiumCoast,None,None,None,None,None, very sensitive to disturbance,None
Conopeum reticulum,111351,AZBE1,BelgiumCoast,None,None,None,None,None, indifferent to disturbance,None
Pholoe baltica,130599,AZBE1,BelgiumCoast,None,None,None,None,None, very sensitive to disturbance,None
Sagartia lacerata,854806,AZBE1,BelgiumCoast,None,None,None,None,None,None,None
Tubificoides benedii,137571,AZBE1,BelgiumCoast,None,None,None,None,None, first-order opportunistic,None
Amphibalanus improvisus,421139,AZBE1,BelgiumCoast, MSFD indicators,None,None,None,None,None,None
Jassa herdmani,102432,AZBE1,BelgiumCoast,None,None,None,None,None,None,None
Bougainvillia muscus,117328,AZBE1,BelgiumCoast,None,None,None,None,None, very sensitive to disturbance,None
Arenicola defodiens,129867,AZBE1,BelgiumCoast, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Carcinus maenas,107381,AZBE1,BelgiumCoast, FAO-ASFIS,None,None,None,None, tolerant to disturbance,None
Ectopleura dumortierii,117982,AZBE1,BelgiumCoast,None,None,None,None,None, very sensitive to disturbance,None
Oerstedia striata,122823,AZBE1,BelgiumCoast,None,None,None,None,None,None,None
Sabellaria spinulosa,130867,AZBE1,BelgiumCoast, MSFD indicators,None,None,None,None, very sensitive to disturbance,None
Macoma balthica,141579,AZBE1,BelgiumCoast, FAO-ASFIS,None,None,None,None, tolerant to disturbance,None
Amphipholis squamata,125064,AZBE1,BelgiumCoast, HELCOM Red List,None,None,None, Data Deficient, very sensitive to disturbance,None
Alitta succinea,234850,AZBE1,BelgiumCoast,None,None,None,None,None, tolerant to disturbance,None
Amphinema dinema,117778,AZBE1,BelgiumCoast,None,None,None,None,None,None,None
Pholoe inornata,130601,AZBE1,BelgiumCoast,None,None,None,None,None, indifferent to disturbance,None
Microprotopus maculatus,102380,AZBE1,BelgiumCoast,None,None,None,None,None, very sensitive to disturbance,None
Asterias rubens,123776,AZBE1,BelgiumCoast, FAO-ASFIS,None,None,None,None, tolerant to disturbance,None
Sthenelais boa,131074,AZBE1,BelgiumCoast,None,None,None,None,None, indifferent to disturbance,None
Catriona aurantia,156699,AZBE1,BelgiumCoast,None,None,None,None,None,None,None
Solea solea,127160,AZBE1,BelgiumCoast, FAO-ASFIS; IUCN Red List; MSFD indicators, Data Deficient,None,2014,None,None,None
Tubificoides brownae,137572,AZBE1,BelgiumCoast,None,None,None,None,None, first-order opportunistic,None
Tubularia indivisa,117994,AZBE1,BelgiumCoast, FAO-ASFIS,None,None,None,None,None,None
Petricolaria pholadiformis,156961,AZBE1,BelgiumCoast, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Cylindrotheca closterium,149004,AZBE1,BelgiumCoast,None,None,None,None,None,None,None
Schistomysis ornata,120204,AZBE1,BelgiumCoast,None,None,None,None,None, indifferent to disturbance,None
Perforatus perforatus,535477,AZBE1,BelgiumCoast,None,None,None,None,None,None,None
Juxtacribrilina mutabilis,1059484,AZBE1,BelgiumCoast,None,None,None,None,None,None,None
Myrianida brachycephala,238192,AZBE1,BelgiumCoast,None,None,None,None,None, indifferent to disturbance,None
Eucheilota maculata,117535,AZBE1,BelgiumCoast,None,None,None,None,None,None,None
Lepidonotus squamatus,130801,AZBE1,BelgiumCoast,None,None,None,None,None, indifferent to disturbance,None
Aora gracilis,102012,AZBE1,BelgiumCoast,None,None,None,None,None, very sensitive to disturbance,None
Monocorophium acherusicum,225814,AZBE1,BelgiumCoast,None,None,None,None,None, tolerant to disturbance,None
Stylochoplana maculata,142861,AZBE1,BelgiumCoast,None,None,None,None,None,None,None
Neoamphitrite figulus,131504,AZBE1,BelgiumCoast,None,None,None,None,None, very sensitive to disturbance,None
Ectopleura larynx,157933,AZBE1,BelgiumCoast, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Nephtys hombergii,130359,AZBE1,BelgiumCoast, FAO-ASFIS,None,None,None,None, indifferent to disturbance,None
Obelia longissima,117389,AZBE1,BelgiumCoast,None,None,None,None,None, indifferent to disturbance,None
Gattyana cirrhosa,130749,AZBE1,BelgiumCoast,None,None,None,None,None, tolerant to disturbance,None
Streblospio benedicti,131191,AZBE1,BelgiumCoast,None,None,None,None,None, tolerant to disturbance,None
Balanus trigonus,106223,AZBE1,BelgiumCoast,None,None,None,None,None, indifferent to disturbance,None
Gobius niger,126892,AZBE1,BelgiumCoast, FAO-ASFIS; MSFD indicators,None,None,None,None,None,None
Monocorophium acherusicum,225814,AZFPin,BelgiumCoast,None,None,None,None,None, tolerant to disturbance,None
Catriona aurantia,156699,AZFPin,BelgiumCoast,None,None,None,None,None,None,None
Calanus finmarchicus,104464,AZFPin,BelgiumCoast, FAO-ASFIS,None,None,None,None,None,None
Prasinoderma coloniale,375881,AZFPin,BelgiumCoast,None,None,None,None,None,None,None
Campanularia hincksii,117364,AZFPin,BelgiumCoast,None,None,None,None,None, indifferent to disturbance,None
Facelina bostoniensis,139908,AZFPin,BelgiumCoast,None,None,None,None,None,None,None
Eualus cranchii,156083,AZFPin,BelgiumCoast,None,None,None,None,None, very sensitive to disturbance,None
Pisidia longicornis,107188,AZFPin,BelgiumCoast, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Pilumnus hirtellus,107418,AZFPin,BelgiumCoast, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Obelia bidentata,117385,AZFPin,BelgiumCoast,None,None,None,None,None, indifferent to disturbance,None
Eualus gaimardii,107504,AZFPin,BelgiumCoast,None,None,None,None,None, very sensitive to disturbance,None
Juxtacribrilina mutabilis,1059484,AZFPin,BelgiumCoast,None,None,None,None,None,None,None
Amphipholis squamata,125064,AZFPin,BelgiumCoast, HELCOM Red List,None,None,None, Data Deficient, very sensitive to disturbance,None
Ectopleura dumortierii,117982,AZFPin,BelgiumCoast,None,None,None,None,None, very sensitive to disturbance,None
Lithothamnion corallioides,145165,BasBloS1,Roscoff, FAO-ASFIS; MSFD indicators,None,None,None,None,None,None
Chloroparvula pacifica,1361158,BasBloS1,Roscoff,None,None,None,None,None,None,None
Ciona roulii,236663,BasBloS1,Roscoff,None,None,None,None,None,None,None
Crepidula fornicata,138963,BasBloS1,Roscoff, FAO-ASFIS,None,None,None,None, tolerant to disturbance,None
Halidrys siliquosa,145540,BasBloS1,Roscoff, FAO-ASFIS,None,None,None,None,None, epilithic
Sabellaria spinulosa,130867,BasBloS1,Roscoff, MSFD indicators,None,None,None,None, very sensitive to disturbance,None
Oscarella tuberculata,169724,BasBloS1,Roscoff,None,None,None,None,None,None,None
Tricolia pullus,141700,BasBloS1,Roscoff,None,None,None,None,None, very sensitive to disturbance,None
Schizomavella (Schizomavella) linearis,862795,BasBloS1,Roscoff,None,None,None,None,None, very sensitive to disturbance,None
Perforatus perforatus,535477,BasBloS1,Roscoff,None,None,None,None,None,None,None
Syllidia armata,130198,BasBloS1,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Eualus occultus,107506,BasBloS1,Roscoff,None,None,None,None,None, very sensitive to disturbance,None
Platynereis massiliensis,130418,BasBloS1,Roscoff,None,None,None,None,None,None,None
Oscarella viridis,169725,BasBloS1,Roscoff,None,None,None,None,None,None,None
Pycnococcus provasolii,376073,BasBloS1,Roscoff,None,None,None,None,None,None,None
Nucula nucleus,140590,BasBloS1,Roscoff, FAO-ASFIS; HELCOM Red List,None,None,None, Vulnerable, very sensitive to disturbance,None
Amphinema dinema,117778,BasBloS1,Roscoff,None,None,None,None,None,None,None
Scopalina ceutensis,536608,BasBloS1,Roscoff,None,None,None,None,None,None,None
Kallymenia reniformis,145267,BasBloS1,Roscoff,None,None,None,None,None,None, epilithic
Campanularia hincksii,117364,BasBloS1,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Limnodriloides appendiculatus,137490,BasBloS1,Roscoff,None,None,None,None,None,None,None
Antennella secundaria,117628,BasBloS1,Roscoff,None,None,None,None,None, very sensitive to disturbance,None
Eualus cranchii,156083,BasBloS1,Roscoff,None,None,None,None,None, very sensitive to disturbance,None
Candelabrum cocksii,117417,BasBloS1,Roscoff,None,None,None,None,None,None,None
Eusyllis blomstrandi,131290,BasBloS1,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Fucus serratus,145546,BasBloS1,Roscoff, FAO-ASFIS,None,None,None,None,None, epilithic
Tetrastemma flavidum,122773,BasBloS1,Roscoff,None,None,None,None,None, tolerant to disturbance,None
Strongylacidon bermuda,168796,BasBloS1,Roscoff,None,None,None,None,None,None,None
Laminaria digitata,145724,BasBloS1,Roscoff, FAO-ASFIS,None,None,None,None,None, epilithic; epiphytic
Steromphala cineraria,1039839,BasBloS1,Roscoff, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Cliona celata,134121,BasBloS1,Roscoff, HELCOM Red List,None,None,None, Vulnerable, tolerant to disturbance,None
Gracilariopsis longissima,146960,BasBloS1,Roscoff, FAO-ASFIS,None,None,None,None,None,None
Eupolymnia nebulosa,131489,BasBloS1,Roscoff,None,None,None,None,None, tolerant to disturbance,None
Hydroides norvegica,131009,BasBloS1,Roscoff,None,None,None,None,None, tolerant to disturbance,None
Harmothoe impar,130770,BasBloS1,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Halichondria (Halichondria) panicea,165853,BasBloS1,Roscoff,None,None,None,None,None, very sensitive to disturbance,None
Tubificoides imajimai,476130,BasBloS1,Roscoff,None,None,None,None,None,None,None
Phallusia ingeria,103723,BasBloS1,Roscoff,None,None,None,None,None,None,None
Ophryotrocha puerilis,130031,BasBloS1,Roscoff,None,None,None,None,None, second-order opportunistic,None
Pholoe inornata,130601,BasBloS1,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Leodice harassii,742170,BasBloS1,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Tritia incrassata,876825,BasBloS1,Roscoff, FAO-ASFIS,None,None,None,None, indifferent to disturbance,None
Lissoclinum perforatum,103585,BasBloS1,Roscoff,None,None,None,None,None,None,None
Myrianida rubropunctata,238202,BasBloS1,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Ericthonius punctatus,102408,BasBloS1,Roscoff,None,None,None,None,None, very sensitive to disturbance,None
Dictyota dichotoma,145367,BasBloS1,Roscoff, FAO-ASFIS,None,None,None,None,None,None
Cletodes tenuipes,115776,BasBloS1,Roscoff,None,None,None,None,None,None,None
Protosuberites denhartogi,170782,BasBloS1,Roscoff,None,None,None,None,None,None,None
Ascidiella scabra,103719,BasBloS1,Roscoff, FAO-ASFIS,None,None,None,None, tolerant to disturbance,None
Ascidiella aspersa,103718,BasBloS1,Roscoff, FAO-ASFIS,None,None,None,None, tolerant to disturbance,None
Ocenebra erinaceus,140405,BasBloS1,Roscoff, FAO-ASFIS,None,None,None,None, indifferent to disturbance,None
Calliostoma zizyphinum,141767,BasBloS1,Roscoff, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Bougainvillia muscus,117328,BasBloS1,Roscoff,None,None,None,None,None, very sensitive to disturbance,None
Halisarca desqueyrouxae,932306,BasBloS1,Roscoff,None,None,None,None,None,None,None
Sigmaxinella hipposiderus,577142,BasBloS1,Roscoff,None,None,None,None,None,None,None
Cephalothrix simula,573293,BasBloS1,Roscoff,None,None,None,None,None,None,None
Gongolaria baccata,1659019,BasBloS1,Roscoff, FAO-ASFIS,None,None,None,None,None, epilithic
Cirriformia tentaculata,129964,BasBloS1,Roscoff,None,None,None,None,None, second-order opportunistic,None
Peringia ulvae,151628,BasBloS1,Roscoff,None,None,None,None,None, tolerant to disturbance,None
Gobius niger,126892,BasBloS1,Roscoff, FAO-ASFIS; MSFD indicators,None,None,None,None,None,None
Thalassiosira nordenskioeldii,148931,BasBloS2,Roscoff,None,None,None,None,None,None,None
Laonice cirrata,131128,BasBloS2,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Phallusia ingeria,103723,BasBloS2,Roscoff,None,None,None,None,None,None,None
Leodice harassii,742170,BasBloS2,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Syllidia armata,130198,BasBloS2,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Gyptis propinqua,130156,BasBloS2,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Sabellaria spinulosa,130867,BasBloS2,Roscoff, MSFD indicators,None,None,None,None, very sensitive to disturbance,None
Pholoe inornata,130601,BasBloS2,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Paracalanus parvus parvus,745865,BasBloS2,Roscoff,None,None,None,None,None,None,None
Pisidia longicornis,107188,BasBloS2,Roscoff, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Phorcus lineatus,689176,BasBloS2,Roscoff,None,None,None,None,None, very sensitive to disturbance,None
Eualus cranchii,156083,BasBloS2,Roscoff,None,None,None,None,None, very sensitive to disturbance,None
Ophryotrocha puerilis,130031,BasBloS2,Roscoff,None,None,None,None,None, second-order opportunistic,None
Evadne nordmanni,106273,BasBloS2,Roscoff,None,None,None,None,None,None,None
Harmothoe impar,130770,BasBloS2,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Jassa herdmani,102432,BasBloS2,Roscoff,None,None,None,None,None,None,None
Mitrocomella brownei,117754,BasBloS2,Roscoff,None,None,None,None,None,None,None
Tritia incrassata,876825,BasBloS2,Roscoff, FAO-ASFIS,None,None,None,None, indifferent to disturbance,None
Marthasterias glacialis,123803,BasBloS2,Roscoff, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Cletodes tenuipes,115776,BasBloS2,Roscoff,None,None,None,None,None,None,None
Steromphala cineraria,1039839,BasBloS2,Roscoff, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Eusyllis blomstrandi,131290,BasBloS2,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Gaidropsarus vulgaris,126458,BasBloS2,Roscoff, FAO-ASFIS; IUCN Red List; MSFD indicators, Least Concern,None,2014,None,None,None
Trichobranchus glacialis,131574,BasBloS2,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Centropages hamatus,104496,BasBloS2,Roscoff, FAO-ASFIS,None,None,None,None,None,None
Gobius paganellus,126893,BasBloS2,Roscoff, FAO-ASFIS; IUCN Red List, Least Concern,None,2014,None,None,None
Balanus trigonus,106223,BasBloS2,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Malacoceros fuliginosus,131131,BasBloS2,Roscoff,None,None,None,None,None, first-order opportunistic,None
Cutleria multifida,145297,BasBloS2,Roscoff,None,None,None,None,None,None, epilithic; epiphytic; epizoic
Cirriformia tentaculata,129964,BasBloS2,Roscoff,None,None,None,None,None, second-order opportunistic,None
Pycnococcus provasolii,376073,BasBloS2,Roscoff,None,None,None,None,None,None,None
Calma gobioophaga,181241,BasBloS2,Roscoff,None,None,None,None,None,None,None
Tubificoides imajimai,476130,BasBloS2,Roscoff,None,None,None,None,None,None,None
Myrianida prolifera,238200,BasBloS2,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Bougainvillia muscus,117328,BasBloS2,Roscoff,None,None,None,None,None, very sensitive to disturbance,None
Ciona roulii,236663,BasBloS2,Roscoff,None,None,None,None,None,None,None
Obelia longissima,117389,BasBloS3,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Tachidius discipes,157725,BasBloS3,Roscoff,None,None,None,None,None,None,None
Perforatus perforatus,535477,BasBloS3,Roscoff,None,None,None,None,None,None,None
Sabellaria spinulosa,130867,BasBloS3,Roscoff, MSFD indicators,None,None,None,None, very sensitive to disturbance,None
Halisarca desqueyrouxae,932306,BasBloS3,Roscoff,None,None,None,None,None,None,None
Ophryotrocha puerilis,130031,BasBloS3,Roscoff,None,None,None,None,None, second-order opportunistic,None
Harmothoe impar,130770,BasBloS3,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Schizomavella (Schizomavella) linearis,862795,BasBloS3,Roscoff,None,None,None,None,None, very sensitive to disturbance,None
Protosuberites mereui,890847,BasBloS3,Roscoff,None,None,None,None,None,None,None
Oscarella tuberculata,169724,BasBloS3,Roscoff,None,None,None,None,None,None,None
Leodice harassii,742170,BasBloS3,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Thalassiosira nordenskioeldii,148931,BasBloS3,Roscoff,None,None,None,None,None,None,None
Platynereis massiliensis,130418,BasBloS3,Roscoff,None,None,None,None,None,None,None
Balanus balanus,106213,BasBloS3,Roscoff, FAO-ASFIS,None,None,None,None,None,None
Tricolia pullus,141700,BasBloS3,Roscoff,None,None,None,None,None, very sensitive to disturbance,None
Strongylacidon bermuda,168796,BasBloS3,Roscoff,None,None,None,None,None,None,None
Psamathe fusca,152249,BasBloS3,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Eusyllis blomstrandi,131290,BasBloS3,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Pholoe inornata,130601,BasBloS3,Roscoff,None,None,None,None,None, indifferent to disturbance,None
Caprella danilevskii,101827,BasBloS3,Roscoff,None,None,None,None,None,None,None
Callyspongia (Callyspongia) siphonella,166199,BasBloS3,Roscoff,None,None,None,None,None,None,None
Phallusia ingeria,103723,BasBloS3,Roscoff,None,None,None,None,None,None,None
Clausocalanus furcatus,104503,Fornace,GulfOfPiran,None,None,None,None,None,None,None
Chlorarachnion reptans,376147,Fornace,GulfOfPiran,None,None,None,None,None,None,None
Berkeleya fennica,621564,Fornace,GulfOfPiran,None,None,None,None,None,None,None
Ophiopholis aculeata,125125,Fornace,GulfOfPiran, FAO-ASFIS,None,None,None,None, indifferent to disturbance,None
Centropages ponticus,104498,Fornace,GulfOfPiran,None,None,None,None,None,None,None
Rhachotropis inflata,102234,Fornace,GulfOfPiran,None,None,None,None,None,None,None
Campanularia hincksii,117364,Fornace,GulfOfPiran,None,None,None,None,None, indifferent to disturbance,None
Anadara transversa,156734,Fornace,GulfOfPiran,None,None,None,None,None, second-order opportunistic,None
Ostrea neostentina,1371803,Fornace,GulfOfPiran,None,None,None,None,None,None,None
Psammechinus miliaris,124319,Fornace,GulfOfPiran, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Hesiospina aurantiaca,333615,Fornace,GulfOfPiran,None,None,None,None,None, indifferent to disturbance,None
Cliona dissimilis,170440,Fornace,GulfOfPiran,None,None,None,None,None,None,None
Hydroides elegans,131002,Fornace,GulfOfPiran,None,None,None,None,None, indifferent to disturbance,None
Philactinoposthia ischiae,879157,Fornace,GulfOfPiran,None,None,None,None,None,None,None
Paracentrotus lividus,124316,Fornace,GulfOfPiran, FAO-ASFIS,None,None,None,None, very sensitive to disturbance,None
Eualus gaimardii,107504,Fornace,GulfOfPiran,None,None,None,None,None, very sensitive to disturbance,None
Pterocirrus macroceros,130686,Fornace,GulfOfPiran,None,None,None,None,None, very sensitive to disturbance,None
Amphiura chiajei,125073,Fornace,GulfOfPiran,None,None,None,None,None, indifferent to disturbance,None
Balanus trigonus,106223,Fornace,GulfOfPiran,None,None,None,None,None, indifferent to disturbance,None
Navicula ramosissima,149643,Fornace,GulfOfPiran,None,None,None,None,None,None,None
Myrianida longoprimicirrata,238199,Fornace,GulfOfPiran,None,None,None,None,None, indifferent to disturbance,None
Phallusia ingeria,103723,Fornace,GulfOfPiran,None,None,None,None,None,None,None
