Sample	Sequenced	Observatory	ARMS	Deployment	Retrieval	Fraction	Fraction_Group	Fraction_Exact	Preservative	Lab_Replicate	Habitat
ARMS_Laeso_Laeso2_20190819_20200811_SF40	Apr-21	Laeso	Laeso2	20190819	20200811	Sessile	SF40	SF40	DMSO		LHI (Low human influence)
ARMS_Laeso_Laeso3_20190819_20200811_MF100	Apr-21	Laeso	Laeso3	20190819	20200811	Motile	MF100	MF100	DMSO		LHI (Low human influence)
ARMS_Laeso_Laeso3_20190819_20200811_MF500	Apr-21	Laeso	Laeso3	20190819	20200811	Motile	MF500	MF500	DMSO		LHI (Low human influence)
ARMS_Laeso_Laeso3_20190819_20200811_SF40	Apr-21	Laeso	Laeso3	20190819	20200811	Sessile	SF40	SF40	DMSO		LHI (Low human influence)
ARMS_Limfjord_Green33_20190618_20191029_MF100	Jan-20	Limfjord	Green33	20190618	20191029	Motile	MF100	MF100	DMSO		LHI (Low human influence)
ARMS_Limfjord_Green33_20190618_20191029_MF500	Jan-20	Limfjord	Green33	20190618	20191029	Motile	MF500	MF500	DMSO		LHI (Low human influence)
ARMS_Limfjord_Green33_20190618_20191029_SF40	Jan-20	Limfjord	Green33	20190618	20191029	Sessile	SF40	SF40	DMSO		LHI (Low human influence)
ARMS_Limfjord_Green33_20191029_20201110_MF100	Jan-22	Limfjord	Green33	20191029	20201110	Motile	MF100	MF100	DMSO		LHI (Low human influence)
ARMS_Limfjord_Green33_20191029_20201110_MF500	Jan-22	Limfjord	Green33	20191029	20201110	Motile	MF500	MF500	DMSO		LHI (Low human influence)
ARMS_Limfjord_Green33_20191029_20201110_SF40	Jan-22	Limfjord	Green33	20191029	20201110	Sessile	SF40	SF40	DMSO		LHI (Low human influence)
ARMS_Limfjord_Red2_20190618_20191029_MF100	Jan-20	Limfjord	Red2	20190618	20191029	Motile	MF100	MF100	DMSO		LHI (Low human influence)
ARMS_Limfjord_Red2_20190618_20191029_MF500	Jan-20	Limfjord	Red2	20190618	20191029	Motile	MF500	MF500	DMSO		LHI (Low human influence)
ARMS_Limfjord_Red2_20190618_20191029_SF40	Jan-20	Limfjord	Red2	20190618	20191029	Sessile	SF40	SF40	DMSO		LHI (Low human influence)
ARMS_Limfjord_Red2_20191029_20201110_MF100	Jan-22	Limfjord	Red2	20191029	20201110	Motile	MF100	MF100	DMSO		LHI (Low human influence)
ARMS_Limfjord_Red2_20191029_20201110_MF500	Jan-22	Limfjord	Red2	20191029	20201110	Motile	MF500	MF500	DMSO		LHI (Low human influence)
ARMS_Limfjord_Red2_20191029_20201110_SF40	Jan-22	Limfjord	Red2	20191029	20201110	Sessile	SF40	SF40	DMSO		LHI (Low human influence)
ARMS_Limfjord_Yellow8_20190618_20191029_MF100	Jan-20	Limfjord	Yellow8	20190618	20191029	Motile	MF100	MF100	DMSO		LHI (Low human influence)
ARMS_Limfjord_Yellow8_20190618_20191029_MF500	Jan-20	Limfjord	Yellow8	20190618	20191029	Motile	MF500	MF500	DMSO		LHI (Low human influence)
ARMS_Limfjord_Yellow8_20190618_20191029_SF40	Jan-20	Limfjord	Yellow8	20190618	20191029	Sessile	SF40	SF40	DMSO		LHI (Low human influence)
ARMS_Plymouth_MBA1_20180701_20181001_MF100_DMSO	May-21	Plymouth	MBA1	20180701	20181001	Motile	MF100	MF100	DMSO		semi-industrial
ARMS_Plymouth_MBA1_20180701_20181001_MF100_ETOH	May-21	Plymouth	MBA1	20180701	20181001	Motile	MF100	MF100	ETOH		semi-industrial
ARMS_Plymouth_MBA1_20180701_20181001_MF500_DMSO	May-21	Plymouth	MBA1	20180701	20181001	Motile	MF500	MF500	DMSO		semi-industrial
ARMS_Plymouth_MBA1_20180701_20181001_MF500_ETOH	May-21	Plymouth	MBA1	20180701	20181001	Motile	MF500	MF500	ETOH		semi-industrial
ARMS_Plymouth_MBA1_20180701_20181001_SF40_DMSO	May-21	Plymouth	MBA1	20180701	20181001	Sessile	SF40	SF40	DMSO		semi-industrial
ARMS_Plymouth_MBA1_20180701_20181001_SF40_ETOH	May-21	Plymouth	MBA1	20180701	20181001	Sessile	SF40	SF40	ETOH		semi-industrial
ARMS_Plymouth_MBA1A_20190716_20190916_MF100	Jan-20	Plymouth	MBA1A	20190716	20190916	Motile	MF100	MF100	DMSO		semi-industrial
ARMS_Plymouth_MBA1A_20190716_20190916_MF500	Jan-20	Plymouth	MBA1A	20190716	20190916	Motile	MF500	MF500	DMSO		semi-industrial
ARMS_Plymouth_MBA1A_20190716_20190916_SF40	Jan-20	Plymouth	MBA1A	20190716	20190916	Sessile	SF40	SF40	DMSO		semi-industrial
ARMS_Plymouth_MBA1B_20190716_20190918_MF100	Jan-20	Plymouth	MBA1B	20190716	20190918	Motile	MF100	MF100	DMSO		semi-industrial
ARMS_Plymouth_MBA1B_20190716_20190918_MF500	Jan-20	Plymouth	MBA1B	20190716	20190918	Motile	MF500	MF500	DMSO		semi-industrial
ARMS_Plymouth_MBA1B_20190716_20190918_SF40	Jan-20	Plymouth	MBA1B	20190716	20190918	Sessile	SF40	SF40	DMSO		semi-industrial
ARMS_Plymouth_MBA1C_20190716_20190920_MF100	Jan-20	Plymouth	MBA1C	20190716	20190920	Motile	MF100	MF100	DMSO		semi-industrial
ARMS_Plymouth_MBA1C_20190716_20190920_MF500	Jan-20	Plymouth	MBA1C	20190716	20190920	Motile	MF500	MF500	DMSO		semi-industrial
ARMS_Plymouth_MBA1C_20190716_20190920_SF40	Jan-20	Plymouth	MBA1C	20190716	20190920	Sessile	SF40	SF40	DMSO		semi-industrial
ARMS_Plymouth_MBA2_20180701_20181001_MF100_DMSO	Jul-19	Plymouth	MBA2	20180701	20181001	Motile	MF100	MF100	DMSO		semi-industrial
ARMS_Plymouth_MBA2_20180701_20181001_MF100_ETOH	Jul-19	Plymouth	MBA2	20180701	20181001	Motile	MF100	MF100	ETOH		semi-industrial
ARMS_Plymouth_MBA2_20180701_20181001_MF500_ETOH	Jul-19	Plymouth	MBA2	20180701	20181001	Motile	MF500	MF500	ETOH		semi-industrial
ARMS_Plymouth_MBA2_20180701_20181001_SF40_DMSO	May-21	Plymouth	MBA2	20180701	20181001	Sessile	SF40	SF40	DMSO		semi-industrial
ARMS_Plymouth_MBA2_20180701_20181001_SF40_ETOH	May-21	Plymouth	MBA2	20180701	20181001	Sessile	SF40	SF40	ETOH		semi-industrial
ARMS_Roscoff_BasBloS1_20180711_20181025_MF100_DMSO	May-21	Roscoff	BasBloS1	20180711	20181025	Motile	MF100	MF100	DMSO		protected
ARMS_Roscoff_BasBloS1_20180711_20181025_MF500_DMSO	May-21	Roscoff	BasBloS1	20180711	20181025	Motile	MF500	MF500	DMSO		protected
ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_DMSO_A	Jul-19	Roscoff	BasBloS1	20180711	20181025	Sessile	SF40	SF40	DMSO	A	protected
ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_DMSO_B	May-21	Roscoff	BasBloS1	20180711	20181025	Sessile	SF40	SF40	DMSO	B	protected
ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_ETOH_A	Jul-19	Roscoff	BasBloS1	20180711	20181025	Sessile	SF40	SF40	ETOH	A	protected
ARMS_Roscoff_BasBloS1_20180711_20181025_SF40_ETOH_B	May-21	Roscoff	BasBloS1	20180711	20181025	Sessile	SF40	SF40	ETOH	B	protected
ARMS_Roscoff_BasBloS1_20190612_20200527_MF100	May-21	Roscoff	BasBloS1	20190612	20200527	Motile	MF100	MF100	DMSO		protected
ARMS_Roscoff_BasBloS1_20190612_20200527_MF500	May-21	Roscoff	BasBloS1	20190612	20200527	Motile	MF500	MF500	DMSO		protected
ARMS_Roscoff_BasBloS1_20190612_20200527_SF40	Apr-21	Roscoff	BasBloS1	20190612	20200527	Sessile	SF40	SF40	DMSO		protected
ARMS_Roscoff_BasBloS2_20190612_20200528_MF100	Apr-21	Roscoff	BasBloS2	20190612	20200528	Motile	MF100	MF100	DMSO		protected
ARMS_Roscoff_BasBloS2_20190612_20200528_MF500	Apr-21	Roscoff	BasBloS2	20190612	20200528	Motile	MF500	MF500	DMSO		protected
ARMS_Roscoff_BasBloS2_20190612_20200528_SF40	May-21	Roscoff	BasBloS2	20190612	20200528	Sessile	SF40	SF40	DMSO		protected
ARMS_Roscoff_BasBloS3_20190612_20200529_MF100	Apr-21	Roscoff	BasBloS3	20190612	20200529	Motile	MF100	MF100	DMSO		protected
ARMS_Roscoff_BasBloS3_20190612_20200529_MF500	Apr-21	Roscoff	BasBloS3	20190612	20200529	Motile	MF500	MF500	DMSO		protected
ARMS_Roscoff_BasBloS3_20190612_20200529_SF40	Apr-21	Roscoff	BasBloS3	20190612	20200529	Sessile	SF40	SF40	DMSO		protected
ARMS_Roscoff_MarBloR1_20180709_20181024_MF100_DMSO	May-21	Roscoff	MarBloR1	20180709	20181024	Motile	MF100	MF100	DMSO		semi-industrial
ARMS_Roscoff_MarBloR1_20180709_20181024_MF100_ETOH	May-21	Roscoff	MarBloR1	20180709	20181024	Motile	MF100	MF100	ETOH		semi-industrial
ARMS_Roscoff_MarBloR1_20180709_20181024_MF500_DMSO	May-21	Roscoff	MarBloR1	20180709	20181024	Motile	MF500	MF500	DMSO		semi-industrial
ARMS_Roscoff_MarBloR1_20180709_20181024_MF500_ETOH	May-21	Roscoff	MarBloR1	20180709	20181024	Motile	MF500	MF500	ETOH		semi-industrial
ARMS_Roscoff_MarBloR1_20180709_20181024_SF40_DMSO	May-21	Roscoff	MarBloR1	20180709	20181024	Sessile	SF40	SF40	DMSO		semi-industrial
ARMS_Roscoff_MarBloR1_20180709_20181024_SF40_ETOH	May-21	Roscoff	MarBloR1	20180709	20181024	Sessile	SF40	SF40	ETOH		semi-industrial
ARMS_Roscoff_MarBloR1_20190612_20190916_MF100	Jan-20	Roscoff	MarBloR1	20190612	20190916	Motile	MF100	MF100	DMSO		semi-industrial
ARMS_Roscoff_MarBloR1_20190612_20190916_MF500	Jan-20	Roscoff	MarBloR1	20190612	20190916	Motile	MF500	MF500	DMSO		semi-industrial
ARMS_Roscoff_MarBloR1_20190612_20190916_SF40	Jan-20	Roscoff	MarBloR1	20190612	20190916	Sessile	SF40	SF40	DMSO		semi-industrial
ARMS_Roscoff_MarBloR2_20190612_20190917_MF100	Jan-20	Roscoff	MarBloR2	20190612	20190917	Motile	MF100	MF100	DMSO		semi-industrial
ARMS_Roscoff_MarBloR2_20190612_20190917_MF500	Jan-20	Roscoff	MarBloR2	20190612	20190917	Motile	MF500	MF500	DMSO		semi-industrial
ARMS_Roscoff_MarBloR2_20190612_20190917_SF40	Jan-20	Roscoff	MarBloR2	20190612	20190917	Sessile	SF40	SF40	DMSO		semi-industrial
ARMS_Roscoff_MarBloR3_20190612_20190918_MF100	Jan-20	Roscoff	MarBloR3	20190612	20190918	Motile	MF100	MF100	DMSO		semi-industrial
ARMS_Roscoff_MarBloR3_20190612_20190918_MF500	Jan-20	Roscoff	MarBloR3	20190612	20190918	Motile	MF500	MF500	DMSO		semi-industrial
ARMS_Roscoff_MarBloR3_20190612_20190918_SF40	Jan-20	Roscoff	MarBloR3	20190612	20190918	Sessile	SF40	SF40	DMSO		semi-industrial
ARMS_Svalbard_S1_20180706_20190806_MF100_ETOH	May-21	Svalbard	S1	20180706	20190806	Motile	MF100	MF100	ETOH		LHI (Low human influence)
ARMS_Svalbard_S1_20180706_20190806_MF500_ETOH	Apr-21	Svalbard	S1	20180706	20190806	Motile	MF500	MF500	ETOH		LHI (Low human influence)
ARMS_Svalbard_S1_20180706_20190806_SF40_ETOH	Apr-21	Svalbard	S1	20180706	20190806	Sessile	SF40	SF40	ETOH		LHI (Low human influence)
ARMS_Svalbard_S1_20190806_20200804_MF100	Apr-21	Svalbard	S1	20190806	20200804	Motile	MF100	MF100	DMSO		LHI (Low human influence)
ARMS_Svalbard_S1_20190806_20200804_MF500	Apr-21	Svalbard	S1	20190806	20200804	Motile	MF500	MF500	DMSO		LHI (Low human influence)
ARMS_Svalbard_S1_20190806_20200804_SF40	May-21	Svalbard	S1	20190806	20200804	Sessile	SF40	SF40	DMSO		LHI (Low human influence)
ARMS_Svalbard_S2_20180708_20190805_MF100_ETOH	Apr-21	Svalbard	S2	20180708	20190805	Motile	MF100	MF100	ETOH		LHI (Low human influence)
ARMS_Svalbard_S2_20180708_20190805_MF500_ETOH	May-21	Svalbard	S2	20180708	20190805	Motile	MF500	MF500	ETOH		LHI (Low human influence)
ARMS_Svalbard_S2_20180708_20190805_SF40_ETOH	May-21	Svalbard	S2	20180708	20190805	Sessile	SF40	SF40	ETOH		LHI (Low human influence)
ARMS_Svalbard_S2_20190805_20200801_MF100	May-21	Svalbard	S2	20190805	20200801	Motile	MF100	MF100	DMSO		LHI (Low human influence)
ARMS_Svalbard_S2_20190805_20200801_MF500	May-21	Svalbard	S2	20190805	20200801	Motile	MF500	MF500	DMSO		LHI (Low human influence)
